game_id,rated,turns,victory_status,winner,White Rating,Black Rating,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response
1,FALSE,13,Out of Time,White,1500,1191,D10,5,Slav Defense: Exchange Variation,Slav Defense,
2,TRUE,16,Resign,Black,1322,1261,B00,4,Nimzowitsch Defense: Kennedy Variation,Nimzowitsch Defense,
3,TRUE,61,Mate,White,1496,1500,C20,3,King's Pawn Game: Leonardis Variation,King's Pawn Game,
4,TRUE,61,Mate,White,1439,1454,D02,3,Queen's Pawn Game: Zukertort Variation,Queen's Pawn Game,
5,TRUE,95,Mate,White,1523,1469,C41,5,Philidor Defense,Philidor Defense,
6,FALSE,5,Draw,Draw,1250,1002,B27,4,Sicilian Defense: Mongoose Variation,Sicilian Defense,
7,TRUE,33,Resign,White,1520,1423,D00,10,Blackmar-Diemer Gambit: Pietrowsky Defense,Blackmar-Diemer Gambit,
8,FALSE,9,Resign,Black,1413,2108,B00,5,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,Nimzowitsch Defense,
9,TRUE,66,Resign,Black,1439,1392,C50,6,Italian Game: Schilling-Kostic Gambit,Italian Game,
10,TRUE,119,Mate,White,1381,1209,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,
11,FALSE,39,Mate,White,1381,1272,A00,1,Van't Kruijs Opening,Van't Kruijs Opening,
12,FALSE,38,Resign,Black,1381,1867,C02,9,French Defense: Advance Variation |  Paulsen Attack,French Defense,
13,FALSE,60,Resign,Black,1381,1936,C00,3,French Defense: Knight Variation,French Defense,
14,FALSE,31,Resign,Black,1381,1607,C00,2,French Defense #2,French Defense,
15,FALSE,31,Mate,White,1094,1141,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
16,FALSE,43,Resign,Black,1141,1094,C57,7,Italian Game: Two Knights Defense |  Knight Attack,Italian Game,
17,FALSE,52,Resign,Black,1094,1141,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
18,FALSE,66,Mate,Black,1141,1094,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
19,FALSE,101,Resign,Black,1094,1300,C41,5,Philidor Defense #3,Philidor Defense,
20,FALSE,25,Resign,White,1500,1094,D00,2,Queen's Pawn Game,Queen's Pawn Game,
21,FALSE,14,Resign,Black,1094,1676,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
22,FALSE,3,Resign,White,1094,1068,A40,2,Horwitz Defense,Horwitz Defense,
23,FALSE,17,Resign,White,1500,1094,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,
24,TRUE,36,Resign,White,1307,1106,A25,4,English Opening: King's English Variation |  Reversed Closed Sicilian,English Opening,
25,TRUE,13,Resign,Black,1113,1423,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,
26,TRUE,69,Mate,White,1078,1219,D01,4,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,
27,TRUE,43,Resign,White,1825,1079,C45,8,Scotch Game: Haxo Gambit,Scotch Game,
28,TRUE,54,Mate,Black,1328,1038,D01,4,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,
29,TRUE,53,Resign,Black,1056,1156,D10,4,Slav Defense,Slav Defense,
30,TRUE,66,Mate,Black,1077,1148,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
31,TRUE,64,Resign,Black,1358,1036,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,
32,TRUE,64,Mate,Black,1200,1002,B52,6,Sicilian Defense: Canal Attack |  Main Line,Sicilian Defense,
33,TRUE,54,Resign,White,1203,1019,B27,3,Sicilian Defense,Sicilian Defense,
34,FALSE,21,Resign,Black,1019,1500,D20,6,Queen's Gambit Accepted: Central Variation |  Greco Variation,Queen's Gambit,Accepted
35,FALSE,11,Resign,White,1422,975,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,
36,TRUE,19,Resign,Black,976,1832,B06,4,Robatsch (Modern) Defense,Robatsch (Modern) Defense,
37,TRUE,28,Resign,White,1569,978,D00,10,Blackmar-Diemer Gambit: Tartakower Variation,Blackmar-Diemer Gambit,
38,FALSE,22,Resign,Black,978,1500,A45,2,Indian Game,Indian Game,
39,FALSE,37,Resign,White,1500,978,B77,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,Sicilian Defense,
40,FALSE,34,Resign,White,2449,978,A21,3,English Opening: King's English Variation |  Reversed Sicilian,English Opening,
41,FALSE,32,Draw,Draw,1207,978,B70,10,Sicilian Defense: Dragon Variation,Sicilian Defense,
42,FALSE,71,Resign,Black,1241,978,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,
43,FALSE,30,Resign,White,1500,978,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,
44,FALSE,66,Resign,White,2443,978,B76,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,Sicilian Defense,
45,FALSE,41,Resign,White,1500,978,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,
46,FALSE,49,Resign,White,1500,978,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,
47,FALSE,3,Resign,Black,978,1500,B01,2,Scandinavian Defense,Scandinavian Defense,
